"","dcode","dname","month","wasteamt"
"178",1004,"บางรัก","01-2018",4690.24
"179",1027,"บึงกุ่ม","01-2018",6161.32
"180",1007,"ปทุมวัน","01-2018",9484.05
"181",1032,"ประเวศ","01-2018",8446.32
"182",1008,"ป้อมปราบศัตรูพ่าย","01-2018",2592.81
"183",1014,"พญาไท","01-2018",5174.72
"184",1009,"พระโขนง","01-2018",4402.87
"185",1001,"พระนคร","01-2018",6114.44
"186",1022,"ภาษีเจริญ","01-2018",4866.45
"187",1010,"มีนบุรี","01-2018",5656.89
"188",1012,"ยานนาวา","01-2018",5521.6
"189",1037,"ราชเทวี","01-2018",6693.25
"190",1024,"ราษฎร์บูรณะ","01-2018",3586.63
"191",1011,"ลาดกระบัง","01-2018",8746.79
"192",1038,"ลาดพร้าว","01-2018",6432.39
"193",1045,"วังทองหลาง","01-2018",6914.36
"194",1039,"วัฒนา","01-2018",8563.75
"195",1034,"สวนหลวง","01-2018",6902.59
"196",1044,"สะพานสูง","01-2018",3668.61
"197",1013,"สัมพันธวงศ์","01-2018",1729.14
"198",1028,"สาทร","01-2018",5022.9
"199",1042,"สายไหม","01-2018",7249.38
"200",1023,"หนองแขม","01-2018",5300.1
"201",1003,"หนองจอก","01-2018",4099.72
"202",1041,"หลักสี่","01-2018",5578.56
"203",1017,"ห้วยขวาง","01-2018",6730.2
"204",1000,"อื่นๆ","01-2018",19893
"205",1033,"คลองเตย","02-2018",8583.18
"206",1018,"คลองสาน","02-2018",3630.11
"207",1046,"คลองสามวา","02-2018",5499.77
"208",1043,"คันนายาว","02-2018",4153.56
"209",1030,"จตุจักร","02-2018",11775.1
"210",1035,"จอมทอง","02-2018",5988.34
"211",1036,"ดอนเมือง","02-2018",5875.88
"212",1026,"ดินแดง","02-2018",8025.83
"213",1002,"ดุสิต","02-2018",4972.77
"214",1019,"ตลิ่งชัน","02-2018",4304.25
"215",1048,"ทวีวัฒนา","02-2018",3002.46
"216",1049,"ทุ่งครุ","02-2018",4124.53
"217",1015,"ธนบุรี","02-2018",4738.54
"218",1020,"บางกอกน้อย","02-2018",4783.33
"219",1016,"บางกอกใหญ่","02-2018",2205.82
"220",1006,"บางกะปิ","02-2018",9469.34
"221",1021,"บางขุนเทียน","02-2018",9489.46
"222",1005,"บางเขน","02-2018",8517.92
"223",1031,"บางคอแหลม","02-2018",3981.58
"224",1040,"บางแค","02-2018",8200.77
"225",1029,"บางซื่อ","02-2018",4683.62
"226",1047,"บางนา","02-2018",6483.23
"227",1050,"บางบอน","02-2018",6465.61
"228",1025,"บางพลัด","02-2018",4477.7
"229",1004,"บางรัก","02-2018",4534.55
"230",1027,"บึงกุ่ม","02-2018",5879.25
"231",1007,"ปทุมวัน","02-2018",8761.87
"232",1032,"ประเวศ","02-2018",7921.35
"233",1008,"ป้อมปราบศัตรูพ่าย","02-2018",2493.67
"234",1014,"พญาไท","02-2018",4827.6
"235",1009,"พระโขนง","02-2018",4040.16
"236",1001,"พระนคร","02-2018",5744.13
"237",1022,"ภาษีเจริญ","02-2018",4586.15
"238",1010,"มีนบุรี","02-2018",5170.24
"239",1012,"ยานนาวา","02-2018",5342.04
"240",1037,"ราชเทวี","02-2018",6164.82
"241",1024,"ราษฎร์บูรณะ","02-2018",3394.47
"242",1011,"ลาดกระบัง","02-2018",8091
"243",1038,"ลาดพร้าว","02-2018",6043.82
"244",1045,"วังทองหลาง","02-2018",6512.04
"245",1039,"วัฒนา","02-2018",7935.29
"246",1034,"สวนหลวง","02-2018",6354.12
"247",1044,"สะพานสูง","02-2018",3461.1
"248",1013,"สัมพันธวงศ์","02-2018",1723.51
"249",1028,"สาทร","02-2018",4679.32
"250",1042,"สายไหม","02-2018",6555.19
"251",1023,"หนองแขม","02-2018",5024.72
"252",1003,"หนองจอก","02-2018",3662.99
"253",1041,"หลักสี่","02-2018",5359.58
"254",1017,"ห้วยขวาง","02-2018",6339.47
"255",1000,"อื่นๆ","02-2018",17504.83
"256",1033,"คลองเตย","03-2018",9397.08
"257",1018,"คลองสาน","03-2018",3967.8
"258",1046,"คลองสามวา","03-2018",6562.01
"259",1043,"คันนายาว","03-2018",4600.69
"260",1030,"จตุจักร","03-2018",13805.8
"261",1035,"จอมทอง","03-2018",6527.37
"262",1036,"ดอนเมือง","03-2018",6741.4
"263",1026,"ดินแดง","03-2018",9174.8
"264",1002,"ดุสิต","03-2018",5439.65
"265",1019,"ตลิ่งชัน","03-2018",4726.93
"266",1048,"ทวีวัฒนา","03-2018",3505.1
"267",1049,"ทุ่งครุ","03-2018",4556.64
"268",1015,"ธนบุรี","03-2018",5143.32
"269",1020,"บางกอกน้อย","03-2018",5349.82
"270",1016,"บางกอกใหญ่","03-2018",2496.55
"271",1006,"บางกะปิ","03-2018",10744.5
"272",1021,"บางขุนเทียน","03-2018",10376.9
"273",1005,"บางเขน","03-2018",9668.08
"274",1031,"บางคอแหลม","03-2018",4305.64
"275",1040,"บางแค","03-2018",8911.03
"276",1029,"บางซื่อ","03-2018",5035.64
"277",1047,"บางนา","03-2018",7145.44
"278",1050,"บางบอน","03-2018",7022.24
"279",1025,"บางพลัด","03-2018",4869.6
"280",1004,"บางรัก","03-2018",4948.09
"281",1027,"บึงกุ่ม","03-2018",6441.07
"282",1007,"ปทุมวัน","03-2018",9530.62
"283",1032,"ประเวศ","03-2018",8823.81
